,reviews
208,"

  It’s really worthy to spend 350 rs . Nice nylon braided wire so hope durability is also good . And charging is also faster .Happy with the product .thank you amazon for delivering faster in this pandemic  also .

"
209,"

  I have bought many charging cables, but this one is better than the others. Very good quality does not heat up my device. The cable is really great.Good charging power and durable.

"
210,"

  Don't bye this product waste of money when use this cable mobile went high temperature and not move charge 1 percent above if we continue we can lose our mobile

"
211,"

  WeCool 3A charge usb port fits well with any port.  It charges quite faster which is very helpful.  Nylon Braided is added advantage for the safety and long use.  Happy with the product.

"
212,"

  Value for money

"
213,"

  Doesn't fast charge. Sturdiness is great but doesn't help if it doesn't charge fast even with my fast charging adapter

"
214,"

  Within 12 days lightning charging port has stop working, do not buy, waste of money.

"
215,"

  Not data transfers

"
216,"

  Product is very good and orginal cable packing was also very good thanks Amazon ,

"
217,"

  As they mentioned fast charging cable but it is not fast charger cable, I have used my same samsung original charger .. even tho same it taking more time to charge my phone ..

"
218,"

  Good Quality product

"
219,"

  Useless product didn't last for 1 month

"
220,"

  Amazing product, very comfortable n useful for the ppl who are using multiple phones

"
221,"

  Really cool. I put it in my car so any phone can be charged. It works well.

"
222,"

  nice product, but the plastic at the plugin end have to be much more good quality wise

"
223,"

  We Cool I love the product because it's charging very fast and standard I can use roughly again I can purchase this product to my car I can give this product 5star*****

"
224,"

  It is a fake product stopped working in 10 days of time it reached me. Return window also closed on the day of arrival. Amazon stop selling fake and nasty products. It's a real shame.

"
225,"

  I bought this cable which is worth to buy very nice cable 3 in 1 wire is strong enough I like it will buy more for sure

"
226,"

  Worked all right for first 2 months. Then microUSB port turned extremely slow, cannot charge my phone even after 24 hours of being continuous plugged in.

"
227,"

  Charges slowly

"
228,"

  It’s not even a month and the cord stopped working. Please don't buy. Its useless plus it doesn’t charge fast. Waste of money. There’s no return or any warranty provided.

"
229,"

  The Type-C cable stopped working within one month.

"
230,"

  Cannot charge three  device at the same time, within 3 months of use the cable was broken ..the quality isn't that good ...good for temporary  use only

"
231,"

  It's It's good product especially helps to use as single charging point for all mobile devices

"
232,"

  Sturdy

"
233,"

  Heating up too much. After 30 mins of use, it feels like the cable was kept in fire. Too much heating issues and very slow charging speed. Charges only 13% in 30 mins.

"
234,"

  They sent me a damaged product as shown in pictures. I am giving 2 stars for that. I have to order a replacement which i am awaiting and it is waste of time.

"
235,"

  Don’t buy charge very slow

"
236,"

  When we connect to a mobile it's charging level is  very very slow

"
237,"

  Only good part is it is braided, turbo , fast changing not happening.

"
238,"

  Nice Product

"
239,"

  Nice sturdy cables and charging power. Worth money. Premium finishing of cable and plastic parts.

"
240,"

  Not for iPhone users  usb C good I have a iPhone but not working 10 day working then not working

"
241,"

  Charging speed is too slow , multiple charging is not worth, loose fit... built quality id good.

"
242,"

  The wire is not working properly .The product is not getting connected properly.The product is a defective piece and I want the product to be replaced .

"
243,"

  Do not buy. Very bad quality product work only for 2 month . Now it’s not working.

"
244,"

  good product

"
245,"

  Good cable n excellent working

"
246,"

  I like this product, exactly as described

"
247,"

  Does not support Apple car play nor Android auto

"
248,"

  Wire broke inside and charging stopped within 15 days of buying it

"
249,"

  Not sutable for type c

"
250,"

  I order it last night and received the delivery this morning (within 12 hours). Started using it and it seems to be a good one.

"
251,"

  Stopped charging within 2months of purchase.

"
252,"

  Same as before a cheap item delivered, it can burn your mobile while you kept charging your phone . It makes phone extremely hot 🔥🔥🔥🔥.

"
253,"

  Initially it worked perfect. Charged fast. But it stopped working in 2 months. Not worth with this kind of durability for this high price.

"
254,"

  I didn't really get what I wanted. The cable is damaged or someone used it. I request a replacement or take it away but after 24 hours I received no input.

"
255,"

  Excellent product. No need to think about other cables just go for it

"
256,"

  Satisfied

"
257,"

  Simultaneously it's not charging all the three devices, only two can be charged. If so charge all the three automatically type c charger stops charging

"
258,"

  Looks elegant and is very flexible wire

"
259,"

  It worked fine for a week and then joint got loose and it needs to be hand hold for charging. It has got good looks but wire inside has very short life.

"
260,"

  Charging is very slow even while charging a single device.....I got the replacement but still same problem. Not worth

"
261,"

  It's just a fancy product, no utility..half the time it does not workBuy a single charger cord for each separatelyIt doesn't work properly

"
262,"

  quality not good as expected

"
263,"

  Less than a month of usage and the cord is not working now!

"
264,"

  Not happy with the product at all. Threw it off in less than 3 months. Phone was reverse charging.

"
265,"

  Good product

"
266,"

  C type charging does not works from day one. Not worth the price!!

"
267,"

  Slow charging and its not functioning in a week. I can't return it. DONT BUY.

"
268,"

  The cables look sturdy and tangle free, able to charge Micro USB and USB C together, even though I haven't verified charging speed

"
269,"

  Its not charging fast .... taking 2 times the time it should take compared with other better products available in the market ....

"
270,"

  Poor Performance, not charging Apple phone and ipad.... Items started not showing that charging not supports the wire....

"
271,"

  Initially it was fine.It was charging well.But after 15days my phone doesn’t charge so well anymore.Pretty disappointing

"
272,"

  After a few days of usage, the cable joint to the USB Type-3 is not at all working

"
273,"

  First time came with one extension not working, I replaced the same. Second time it came with all working. Happy to buy.

"
274,"

  Not fast charging

"
275,"

  Good quality,fast charging

"
276,"

  Value for money and charging speed also good !!!

"
277,"

  Within one month of use it's Android and I phone points are not working.Typical Chinese 3rd class product

"
278,"

  Great must buy !

"
279,"

  I am giving review after 2 week of usage . I hv to say it is a great product and it's useful with multiple devices.Quality is also great .

"
280,"

  Little after a month stopped charging my iPhone, unfortunately ordered two pieces both are useless now

"
281,"

  Worst productCharging - average...now after 6 months the quslity has reduced. Its not charging properly.

"
282,"

  Does not charge simultaneously

"
283,"

  Satisfied

"
284,"

  The iOS wires don't support devices. Don't buy. Very dicey. Also they don't take returns if it doesn't work for you.

"
285,"

  GOOD AT CHARGING AND MORE USEFUL TO CHARGE FOR MORE CHARGING DEVICES

"
286,"

  Loved the product

"
287,"

  Charge only one pin and others are not working

"
288,"

  Best product and very useful, in my car as well as home. 3phones charging very easy.

"
289,"

  Nice and very soft-soft cable

"
290,"

  Pathetic is the least i can say about this product. I ordered 2 of these. Within a month, both wires stopped working. They are running a scam. PLEASE DONT GET FOOLED.

"
291,"

  The quality of product is very poor:1. High Price2. Poor USB Cover3. Not charging phone4. Frequent issues in charging may lead to phone damage

"
292,"

  Stopped working in a few days

"
293,"

  Item is as advertised.Good quality product.

"
294,"

  Fast charge not supported

"
295,"

  Had to return this as could not charge 3 devices at a time, even the cable itself feel very cheap and of poor quality.

"
296,"

  Wecool nylon braided multifunction charger is veery good quality and working is amazing so good product and buying this products Meney taimesi like it thise one

"
297,"

  Good and very helpful product. Charges 2 phone symaltenuosly at same time. Works very well. Recommended purchase! Thank you.

"
298,"


  Your browser does not support HTML5 video.


   Very bad quality ...the package was broken and the cable is not fast charging as claimed

"
299,"

  Very useful product

"
300,"

  Very inferior qualityNot durable at all.The charging point came out very easily after 2 days of using

"
301,"

  Very good

"
302,"

  Quality is good. but its bit small in size

"
303,"

  Excellent one. I am ordering 2 more

"
304,"

  Not a fast charging cable. Wrongly claimed on the product description.  I tried this with 2 qualcomm certified charges. Don't buy, if looking for a fast charger .

"
305,"

  This product charged very fast but it's longibility is an issue. Within 10 days one cord has  been damaged but others are working. Overall not satisfied

"
306,"

  1. Very loose connections for all the four ends of the cable.2. Chances are you'll receive the items in already broken conditions, as they are not glued well.

"
307,"

  Brilliant

"
308,"

  Amazing product with fast charging capability of all three different mobiles at the same time.

"
309,"

  ood.

"
310,"

  Works well but don’t expect fast charging for iPhones.

"
311,"

  GOOD QUALITY

"
312,"

  Good and no problem

"
313,"

  It's good but the packing was worst. It doesn't charge fast might be as I have connected my iphone, oneplus with the same charger. However the durability seems to be quite good.

"
314,"

  Works only for couple of months

"
315,"

  Don't buy it.. It will not charge your phone more than 5-10 days..

"
316,"

  Good one,using in my car for charging

"
317,"

  Good product, go ahead

"
318,"

  Poor quality, poor packaging. Typical duplicate Chinese stuff from sadar Bazaar.

"
319,"

  It is arrived few days before and Ios charger has stopped working. Really disappointed with the product waste of time and money.

"
320,"

  International standard quality and good price

"
321,"

  Charges good, though had to get it replaced once as the first tume it wasn't charging

"
322,"

  Did not last for even 3 months - started to disintegrate and stopped charging especially the lighting charger

"
323,"

  It was not a fast charging cable. For my s9..

"
324,"

  Nice Product

"
325,"

  The product is awesome. No problems with charging. Don't know whether it is fully compatible with using it for Google Auto and Apple Car app.

"
326,"

  Using micro usb and lighting connector. Good for 1st few days and then they became loose. Have to keep readjusting the position of phone.

"
327,"

  No complaints since 8 days of usage. thanks

"
328,"

  Only Charging Cable, Data transfer not possible

"
329,"

  No fast charging option...cheats...stop this seller ..don't have return policy also

"
330,"

  Initially the charging speed was good but after a week it's charging speed decreased and then it completely stopped changing

"
331,"

  Cable was not functioning at all ,, I asked for a return.. it’s been more than 10 days no return pickup has happened till date .

"
332,"

  Doesn’t work for Apple CarPlay

"
333,"

  Good product with right cable length

"
334,"

  Excellent product

"
335,"

  This cable worked properly when I purchased but suddenly it stopped working. I have have to remove and then insert cable into my phone for couple of times.

"
336,"

  God product all three charging points working.

"
337,"

  Had to have the first one replaced as was defective.Hence your experience may vary

"
338,"

  Absolute beast and fast charging works superbly absolute must buy cable quality is also soo good

"
339,"

  Gud charger worth buying

"
340,"

  Type C connector stopped working in just 06 days. Quality is not up to the mark.

"
341,"

  I’m so disappointed with this product. Has not even lasted 2 months. DO NOT BUY.

"
342,"

  does not support fast charging in my vivo z1x mobile... over all product is ok.

"
343,"

  Overall product is good but cable not supporting Fast Charging.... as mentioned in Heading.....

"
344,"

  Poor products it got complaint after just two weeks

"
345,"

  the connecting pin at the mobile end is so flimsy, it bends when you connect with the mobile. absolute waste of money...

"
346,"

  Cable is really great. Build quality is also great and length of the cable is also long as per my requirements. Charging is fast and does not heat up my device.

"
347,"

  Not sure for fast charging.

"
348,"

  Bakwas hai 1 month use hone per kharab hoti hai.. charging time per cable garam hoti hai..Replace Milna chahiye..

"
349,"

  Works for two days just so as to pretend as if its a good charger and then it shows its true colours!!!! Very poor quality ☹️

"
350,"

  Cheap productStopped working within a month

"
351,"


  Your browser does not support HTML5 video.


   Dislike -- waste product, just missed for firing of mobile, too much cost

"
352,"

  Poor performance on charging

"
353,"

  I bought 2 of these cables. One stopped working after 2 weeks. another is working but it drastically reduces the charging speed.

"
354,"

  It is very durable and good for travel charging.

"
355,"

  For I phone it’s not working remaining also slow charging

"
356,"

  This is not fast charging cable as claimed in the advert.

"
357,"

  Extremely slow charging power very low not durable not worth at 50 RS very bad I recommend to all please go with other brand please please 🙏 it'sy request save your money

"
358,"

  Doesn't charge properly

"
359,"

  Good

"
360,"

  Excellent quality with protection that gives it long life

"
361,"

  It has a great quality and can be used to charge multiple phones at the same time with same speed.  Works really well!!

"
362,"

  sent the same product as showed in the pic..Excellent built qualityFast charging is okay..Satisfied with this product...

"
363,"

  Versatile

"
364,"

  Cabe is not supporter for 3.0 fast charging when connected to fast charger.

"
365,"

  Very good and very useful product 👍

"
366,"

  Doesn't support fast charge but can charge speed is gud

"
367,"

  Very good quality product!!

"
368,"

  Pls don't buy as the iPhone does not support this wireI tried two pieces and both of them don't charge

"
369,"

  The product is not good in terms of quality.Breaks down from the charging point and charges very slowly

"
370,"

  Very good product

"
371,"

  Charging Super SlowLow quality ; cheap materialsNot at all sturdyNot compatible with iPhones; waste of money!

"
372,"

  Product quality in not good

"
373,"

  Sturdy item

"
374,"

  Nice product. Good quality.

"
375,"

  Sooperb product

"
376,"

  Micro usb port not working after 2 weeks..dont buy this product

"
377,"

  Very good and easy to take any where for my mobiles

"
378,"

  I have ordered 2 of this item.One is fabulous and the other is pathetic.What to say ☺️

"
379,"

  not working properly

"
380,"

  Very poor quality

"
381,"

  One of the connector get broken . Not sure if this is in warranty and replacedPlease get it replaced

"
382,"

  Like

"
383,"

  Working good but apple carplay is not functioning.

"
384,"

  No fast charging, even when only one device is connected. Tried on Samsung mobile with cable connected to Samsung 15W fast charger.

"
385,"

  What an amazing product concept. Albeit let down by extremely poor durability.Stopped working within 30 days!

"
386,"

  please change the product as out of 03 charging leads only 02 are working , one stopped working

"
387,"

  Good item at reasonable price and takes care of all  3 types of phones I phone, Samsung New and Samsung Old

"
388,"

  This is not fast charging cable. But workes to charge mobiles.

"
389,"

  Absolutely worthless. Can't believe it stopped working within 30days. Now I have to hold it's USB port end to enable it to charge

"
390,"

  Not good. Want to return.Amazon- pls see if can be returned now as i have started using it later

"
391,"

  Worst

"
392,"

  Very good

"
393,"

  Micro USB not working , where as others ports are working...

"
394,"

  Out of three charger points,  only one works plus it's not fast charging cable.  Am stuck with this during lock down.Worst product ever

"
395,"

  iPhone cable stopped working right after return window closed. Not advisable

"
396,"

  Excellent product with fast charging multiple devices at same time.

"
397,"

  Was mentioned, but is good for charging only,Google play didn't work.So useless for me

"
398,"

  The cable stopped functioning...waste product. The 'C' part of the cable became loose and doesn't function with frequent disconnectivity.

"
399,"

  Not good quality. Having problems after a few days of use

"
400,"

  Worst productNot working after 1 week

"
401,"

  I purchased on jan 2021 and it stooped working after 2 months, please dont purchase wast of money

"
402,"

  It stopped working in 2 weeks!!! There are many way better cables then this one.

"
403,"

  Poor quality. Stopped charging at fast charging speeds within 3 weeks of purchase. Disappointed in the brand.

"
404,"

  Worste

"
405,"

  VERY NICE PRODUCT FOR MULTI CHARGING CABLES FOR MOBILEVERY GOOD QUALITY AND WORTH OF PRICE

"
406,"

  It does not work at all..worst product worst money spent. ...don't buy it at all ..take it bsck and give the money

"
407,"

  Worst item only 2_3 months working after that slot pin got ...unused...not able to charging now

"
408,"

  Worked for 32 days properly. If we get products with quality like this we may think to purchase from online shopping.

"
409,"

  Very good product and sturdy. The cladding on the wire is also very good in terms of tactile feel. Nice purchase.

"
410,"

  Waste of buying...my iphone charging socket not working after connecting with this....

"
411,"

  Nice

"
412,"

  It is useless item. Even with one item to charge, it takes a lot of time to charge.

"
413,"

  Wastage of money. Not fit properly in Port. Extremely slow charging.

"
414,"

  iPhone connector is not recognized by iPhone. False description. Seller/manufacturer fooling people.

"
415,"

  It was bought as a spare and not used until recently. When we did, we realized we got a dud.

"
416,"

  Very poor quality...just after 2 weeks from buying it stopped recharging....not worth of buying....@seller:can I get replacement?

"
417,"

  Good quality

"
418,"

  I phone charging point stopped working after 10 days , bad quality

"
419,"

  All jack/port working but micro usb port loose connection., Need some improvement, product good. Waste product

"
420,"

  Product look like standard but performance os not as described in specifications.

"
421,"

  Doesn’t work after a month or soThe apple port didn’t work after some  days

"
422,"

  Horrible and disgusting product, stopped functioning within a month of purchase, humble request, please don’t buy it

"
423,"

  Product didn't work when received. Returned the same day. Purchasing this product is wastage of time and money.

"
424,"

  very slow charging. my advice don't purchase this item.

"
425,"

  Not a best fit.

"
426,"

  Cable stopped working after 10day

"
427,"

  nice product should buy thing super fast charging

"
428,"

  Broke down within 2 weeks !

"
429,"

  Not charging within 1 month

"
430,"

  Worked for only one month

"
431,"

  Not that good. But work very well with faster charging.

"
432,"

  As mentioned above easy to use, very comfortably fast charging speed. Durable too, on effective price U ll get 3 ports.

"
433,"

  I enjoyed it so much.  3 phones can be used simultaneously.  The cable of the recover company is good.

"
434,"

  It's  good and working

"
435,"

  Awesome product

"
436,"

  Stopped working after 2 months.

"
437,"

  The Iphone pin broke in a day of use. Poor quality

"
438,"

  Superb

"
439,"

  Avoid

"
440,"

  Excellent quality and delivery on time.!Total value for money.

"
441,"

  This product which i brought in december stopped working,all three charging ports are not working,i would not recommend it to any one

"
442,"

  Appreciate immediate replacement of defective item, good service. Charger works good

"
443,"

  Worst product.. I am very sad with the service and product. Plz arrange a call to me

"
444,"

  this product is very useful as it is 3 in 1 wire which is the key feature of this product. it looks durable & reduces the mess to carry more wires.

"
445,"

  Very bed charging powerNot fast charging support Nokia 6.1

"
446,"

  Nice

"
447,"

  It broke in few days only and as one socket broke, the whole thing stopped working.

"
448,"

  It's good and prompt delivery

"
449,"

  Finishing - Cool. Day 0 Review - I am smiling.

"
450,"

  The product has problem. when you conect for charge showing charging your mobile. But mobile is not charge

"
451,"

  By using this cablenif I try to charge my mobile in powerbank it takes more time to get charged than required.

"
452,"

  Your charger cable is completely useless. Would not recommend anyone to buy it.

"
453,"

  Defective piece. My mistake is that I opened the packet after 15 days on my return from out of station.

"
454,"

  Worst

"
455,"

  After 2 1/2 months cable is not working. Very bad quality please do not buy this.

"
456,"

  Very good product. Serving nicely.

"
457,"

  This doesn't work for the iPhone and type c. Wrong purchase made

"
458,"

  Not as expected. The charging cable stopped working in few days.

"
459,"

  At initially when I bought this cable it worked up to some limit but just within 1month, it stopped working.

"
460,"

  Third class product charge he nai  mobile .Totally wastage of Money..🤬🤬

"
461,"

  Had to replace the item twice, both time after 1-2 charge, it was not working

"
462,"

  Very slow chargingCable over heating while charging

"
463,"

  Not working

"
464,"

  Good one. Does the work.

"
465,"

  Good wire

"
466,"

  Only C-type pin is working. The other 2 pins are not working.

"
467,"

  Nice

"
468,"

  First one was defective. Got it replaced. Now it is 100% working. Good seller

"
469,"

  Stop working in a months waste of money..

"
470,"

  It is not compatible with fast charger. Money wasted.

"
471,"

  Not worth buying

"
472,"

  This is an awesome product with high quality, durability and best charging power and sturdiness.

"
473,"

  Doesnt fit properly for type c charging, charges very slow though

"
474,"

  Very durable and charging power is very goodNice product

"
475,"

  Didn't even last 6 months. Not charging.Have not done any rough use also.

"
476,"

  Thank you@wecool Amazon..i received it my order ..it is such an amazing product ...I really recommend to everyone...

"
477,"

  Product is good but charging power is slow than portronics cable

"
478,"

  Worth for money. Am using this on my car. Would surely recommend my friends and colleagues to buy this.

"
479,"

  Charging pins quality is poor. They are not properly getting holding the Mobiles & Tabs.... etc

"
480,"

  good product..and  it can charges three divice at the same tym....value for money👍👍👏👏

"
481,"

  Micro USB cable stopped working after 3 days. Pathetic product.

"
482,"

  Bad product stopped working After 20 days . Pls don’t buy

"
483,"

  Bad product...iPhone cable not working, connecting prob more time

"
484,"

  Quality is good and it works well so far.

"
485,"

  Very poor quality

"
486,"

  👇👇👇

"
487,"

  Charging is ok, when connected multiple device charging gets slowed down

"
488,"

  Good Quality product and value for money.

"
489,"

  New we cool os really fast charging power. Is looking durable and sturdiness. Value for money

"
490,"

  Good cable but fast charging not working.

"
491,"

  Good

"
492,"

  I have been using it for months , good quality with charging power and sturdiness

"
493,"

  Good

"
494,"

  It has stopped working with8n 3 days. What a waste!!!

"
495,"

  Good product.

"
496,"

  3rd class product, very bed,guys i requested all of you don't buy this product totally use  less

"
497,"

  Product quality is not really good, charging is very slow and

"
498,"

  One of the charging connector damaged. Not possible return or replace

"
499,"

  Good one , checked with type c charger and iphone and iPad and universal Charger all working fine

"
